"division","state","postcode","sa3_name","sa4_name"
"Milroy","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Milsons Arm","NSW","2325","Lower Hunter","Hunter Valley exc Newcastle"
"Milsons Passage","NSW","2083","Hornsby","Sydney - North Sydney and Hornsby"
"Milsons Point","NSW","2061","North Sydney - Mosman","Sydney - North Sydney and Hornsby"
"Milton","NSW","2538","Shoalhaven","Southern Highlands and Shoalhaven"
"Milvale","NSW","2594","Wagga Wagga","Riverina"
"Mimosa","NSW","2666","Wagga Wagga","Riverina"
"Minchinbury","NSW","2770","Mount Druitt","Sydney - Blacktown"
"Mindaribba","NSW","2320","Port Stephens","Hunter Valley exc Newcastle"
"Mingay","NSW","2727","Wagga Wagga","Riverina"
"Mingoola","NSW","2372","Granite Belt","Darling Downs - Maranoa"
"Mingoola","NSW","4380","Granite Belt","Darling Downs - Maranoa"
"Minimbah","NSW","2312","Taree - Gloucester","Mid North Coast"
"Minjary","NSW","2720","Tumut - Tumbarumba","Riverina"
"Minmi","NSW","2287","Newcastle","Newcastle and Lake Macquarie"
"Minnamurra","NSW","2533","Southern Highlands","Southern Highlands and Shoalhaven"
"Minnie Water","NSW","2462","Clarence Valley","Coffs Harbour - Grafton"
"Minore","NSW","2830","Dubbo","Far West and Orana"
"Minto","NSW","2566","Campbelltown (NSW)","Sydney - Outer South West"
"Minto DC","NSW","2566","Campbelltown (NSW)","Sydney - Outer South West"
"Minto Heights","NSW","2566","Campbelltown (NSW)","Sydney - Outer South West"
"Mirador","NSW","2548","South Coast","Capital Region"
"Miranda","NSW","2228","Cronulla - Miranda - Caringbah","Sydney - Sutherland"
"Mirannie","NSW","2330","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Mirrabooka","NSW","2264","Lake Macquarie - West","Newcastle and Lake Macquarie"
"Mirrool","NSW","2665","Wagga Wagga","Riverina"
"Missabotti","NSW","2449","Kempsey - Nambucca","Mid North Coast"
"Missenden Road","NSW","2050","Sydney Inner City","Sydney - City and Inner South"
"Missingham","NSW","2480","Richmond Valley - Hinterland","Richmond - Tweed"
"Mitchell","NSW","2795","Orange","Central West"
"Mitchells Flat","NSW","2330","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Mitchells Island","NSW","2430","Taree - Gloucester","Mid North Coast"
"Mittagong","NSW","2575","Southern Highlands","Southern Highlands and Shoalhaven"
"Moama","NSW","2731","Campaspe","Shepparton"
"Modanville","NSW","2480","Richmond Valley - Hinterland","Richmond - Tweed"
"Mogareeka","NSW","2550","South Coast","Capital Region"
"Mogendoura","NSW","2537","South Coast","Capital Region"
"Moggs Swamp","NSW","2370","Inverell - Tenterfield","New England and North West"
"Mogilla","NSW","2550","South Coast","Capital Region"
"Mogo","NSW","2536","Shoalhaven","Southern Highlands and Shoalhaven"
"Mogo","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Mogo Creek","NSW","2775","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Mogood","NSW","2538","Shoalhaven","Southern Highlands and Shoalhaven"
"Mograni","NSW","2422","Taree - Gloucester","Mid North Coast"
"Mograni Creek","NSW","2422","Taree - Gloucester","Mid North Coast"
"Mogriguy","NSW","2830","Dubbo","Far West and Orana"
"Moira","NSW","2710","Griffith - Murrumbidgee (West)","Riverina"
"Mole River","NSW","2372","Granite Belt","Darling Downs - Maranoa"
"Moleville Creek","NSW","2460","Inverell - Tenterfield","New England and North West"
"Mollyan","NSW","2842","Dubbo","Far West and Orana"
"Mollymook","NSW","2539","Shoalhaven","Southern Highlands and Shoalhaven"
"Mollymook Beach","NSW","2539","Shoalhaven","Southern Highlands and Shoalhaven"
"Molong","NSW","2866","Dubbo","Far West and Orana"
"Mona Vale","NSW","2103","Pittwater","Sydney - Northern Beaches"
"Monak","NSW","2738","Mildura","North West"
"Monaltrie","NSW","2480","Richmond Valley - Hinterland","Richmond - Tweed"
"Monash Park","NSW","2111","Ryde - Hunters Hill","Sydney - Ryde"
"Mondayong","NSW","2540","Jervis Bay","Other Territories"
"Mondrook","NSW","2430","Taree - Gloucester","Mid North Coast"
"Monga","NSW","2622","Shoalhaven","Southern Highlands and Shoalhaven"
"Mongarlowe","NSW","2622","Shoalhaven","Southern Highlands and Shoalhaven"
"Mongogarie","NSW","2470","Richmond Valley - Hinterland","Richmond - Tweed"
"Monia Gap","NSW","2675","Griffith - Murrumbidgee (West)","Riverina"
"Monivae","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Monkerai","NSW","2415","Taree - Gloucester","Mid North Coast"
"Monteagle","NSW","2594","Wagga Wagga","Riverina"
"Montecollum","NSW","2482","Richmond Valley - Coastal","Richmond - Tweed"
"Montefiores","NSW","2820","Dubbo","Far West and Orana"
"Monterey","NSW","2217","Kogarah - Rockdale","Sydney - Inner South West"
"Mooball","NSW","2483","Tweed Valley","Richmond - Tweed"
"Moobi","NSW","2337","Taree - Gloucester","Mid North Coast"
"Moogem","NSW","2370","Inverell - Tenterfield","New England and North West"
"Mookerawa","NSW","2820","Dubbo","Far West and Orana"
"Mookima Wybra","NSW","2469","Richmond Valley - Hinterland","Richmond - Tweed"
"Moolarben","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Moollattoo","NSW","2540","Jervis Bay","Other Territories"
"Moolpa","NSW","2734","Murray River - Swan Hill","North West"
"Moombooldool","NSW","2665","Wagga Wagga","Riverina"
"Moona Plains","NSW","2354","Tamworth - Gunnedah","New England and North West"
"Moonahcullah","NSW","2710","Griffith - Murrumbidgee (West)","Riverina"
"Moonan Brook","NSW","2337","Taree - Gloucester","Mid North Coast"
"Moonan Flat","NSW","2337","Taree - Gloucester","Mid North Coast"
"Moonbah","NSW","2627","Tumut - Tumbarumba","Riverina"
"Moonbi","NSW","2353","Tamworth - Gunnedah","New England and North West"
"Moonbria","NSW","2710","Griffith - Murrumbidgee (West)","Riverina"
"Mooneba","NSW","2440","Armidale","New England and North West"
"Moonee","NSW","2259","Lake Macquarie - West","Newcastle and Lake Macquarie"
"Moonee Beach","NSW","2450","Coffs Harbour","Coffs Harbour - Grafton"
"Moonem","NSW","2472","Richmond Valley - Hinterland","Richmond - Tweed"
"Mooney Mooney","NSW","2083","Hornsby","Sydney - North Sydney and Hornsby"
"Mooney Mooney Creek","NSW","2250","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Moonpar","NSW","2453","Armidale","New England and North West"
"Mooral Creek","NSW","2429","Taree - Gloucester","Mid North Coast"
"Moorara","NSW","2648","Lower Murray","Murray"
"Moorbel","NSW","2804","Lachlan Valley","Central West"
"Moore Creek","NSW","2340","Tamworth - Gunnedah","New England and North West"
"Moore Park","NSW","2021","Eastern Suburbs - South","Sydney - Eastern Suburbs"
"Moorebank","NSW","2170","Liverpool","Sydney - South West"
"Moorilda","NSW","2795","Orange","Central West"
"Moorland","NSW","2443","Taree - Gloucester","Mid North Coast"
"Moorong","NSW","2650","Wagga Wagga","Riverina"
"Moorwatha","NSW","2640","Wodonga - Alpine","Hume"
"Mootai","NSW","2325","Lower Hunter","Hunter Valley exc Newcastle"
"Moparrabah","NSW","2440","Armidale","New England and North West"
"Moppy","NSW","2422","Taree - Gloucester","Mid North Coast"
"Morago","NSW","2710","Griffith - Murrumbidgee (West)","Riverina"
"Morangarell","NSW","2666","Wagga Wagga","Riverina"
"Morans Crossing","NSW","2550","South Coast","Capital Region"
"Moree","NSW","2400","Moree - Narrabri","New England and North West"
"Moree East","NSW","2400","Moree - Narrabri","New England and North West"
"Morisset","NSW","2264","Lake Macquarie - West","Newcastle and Lake Macquarie"
"Morisset Park","NSW","2264","Lake Macquarie - West","Newcastle and Lake Macquarie"
"Morning Bay","NSW","2105","Pittwater","Sydney - Northern Beaches"
"Morning Bay","NSW","2108","Pittwater","Sydney - Northern Beaches"
"Mororo","NSW","2469","Richmond Valley - Hinterland","Richmond - Tweed"
"Morpeth","NSW","2321","Port Stephens","Hunter Valley exc Newcastle"
"Mortdale","NSW","2223","Hurstville","Sydney - Inner South West"
"Mortlake","NSW","2137","Strathfield - Burwood - Ashfield","Sydney - Inner West"
"Morton","NSW","2538","Shoalhaven","Southern Highlands and Shoalhaven"
"Mortons Creek","NSW","2446","Port Macquarie","Mid North Coast"
"Morts Estate","NSW","2790","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Moruben","NSW","2325","Lower Hunter","Hunter Valley exc Newcastle"
"Morundah","NSW","2700","Griffith - Murrumbidgee (West)","Riverina"
"Moruya","NSW","2537","South Coast","Capital Region"
"Moruya Heads","NSW","2537","South Coast","Capital Region"
"Morven","NSW","2370","Inverell - Tenterfield","New England and North West"
"Morven","NSW","2660","Albury","Murray"
"Mosman","NSW","2088","North Sydney - Mosman","Sydney - North Sydney and Hornsby"
"Moss Vale","NSW","2577","Southern Highlands","Southern Highlands and Shoalhaven"
"Mossgiel","NSW","2878","Lower Murray","Murray"
"Mossy Point","NSW","2537","South Coast","Capital Region"
"Moto","NSW","2426","Taree - Gloucester","Mid North Coast"
"Motto Farm","NSW","2324","Great Lakes","Mid North Coast"
"Moulamein","NSW","2733","Upper Murray exc. Albury","Murray"
"Mount Adrah","NSW","2729","Wagga Wagga","Riverina"
"Mount Annan","NSW","2567","Campbelltown (NSW)","Sydney - Outer South West"
"Mount Aquila","NSW","2820","Dubbo","Far West and Orana"
"Mount Arthur","NSW","2820","Dubbo","Far West and Orana"
"Mount Austin","NSW","2650","Wagga Wagga","Riverina"
"Mount Burrell","NSW","2484","Gold Coast Hinterland","Gold Coast"
"Mount Colah","NSW","2079","Hornsby","Sydney - North Sydney and Hornsby"
"Mount Collins","NSW","2794","Lachlan Valley","Central West"
"Mount Cooper","NSW","2631","Snowy Mountains","Capital Region"
"Mount Crystal","NSW","2665","Wagga Wagga","Riverina"
"Mount Darragh","NSW","2632","South Coast","Capital Region"
"Mount David","NSW","2795","Orange","Central West"
"Mount Dee","NSW","2320","Port Stephens","Hunter Valley exc Newcastle"
"Mount Druitt","NSW","2770","Mount Druitt","Sydney - Blacktown"
"Mount Druitt Village","NSW","2770","Mount Druitt","Sydney - Blacktown"
"Mount Elliot","NSW","2250","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Mount Fairy","NSW","2580","Blue Mountains - South","Sydney - Outer West and Blue Mountains"
"Mount Foster","NSW","2824","Bourke - Cobar - Coonamble","Far West and Orana"
"Mount Frome","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Mount George","NSW","2424","Taree - Gloucester","Mid North Coast"
"Mount Gipps","NSW","2880","Broken Hill and Far West","Far West and Orana"
"Mount Harris","NSW","2824","Bourke - Cobar - Coonamble","Far West and Orana"
"Mount Hope","NSW","2877","Bourke - Cobar - Coonamble","Far West and Orana"
"Mount Horeb","NSW","2729","Wagga Wagga","Riverina"
"Mount Hunter","NSW","2570","Bringelly - Green Valley","Sydney - South West"
"Mount Hutton","NSW","2290","Newcastle","Newcastle and Lake Macquarie"
"Mount Irvine","NSW","2786","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Mount Keira","NSW","2500","Wollongong","Illawarra"
"Mount Kembla","NSW","2526","Wollongong","Illawarra"
"Mount Kingiman","NSW","2539","Shoalhaven","Southern Highlands and Shoalhaven"
"Mount Knowles","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Mount Kuring-Gai","NSW","2080","Hornsby","Sydney - North Sydney and Hornsby"
"Mount Lambie","NSW","2790","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Mount Lewis","NSW","2190","Strathfield - Burwood - Ashfield","Sydney - Inner West"
"Mount Lewis","NSW","2200","Canterbury","Sydney - Inner South West"
"Mount Lindsey","NSW","2575","Southern Highlands","Southern Highlands and Shoalhaven"
"Mount Marsden","NSW","2849","Lithgow - Mudgee","Central West"
"Mount Marsh","NSW","2469","Richmond Valley - Hinterland","Richmond - Tweed"
"Mount McDonald","NSW","2793","Orange","Central West"
"Mount Mitchell","NSW","2365","Inverell - Tenterfield","New England and North West"
"Mount Murray","NSW","2577","Southern Highlands","Southern Highlands and Shoalhaven"
"Mount Olive","NSW","2330","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Mount Olive","NSW","2787","Penrith","Sydney - Outer West and Blue Mountains"
"Mount Ousley","NSW","2519","Wollongong","Illawarra"
"Mount Panorama","NSW","2795","Orange","Central West"
"Mount Peerless","NSW","2422","Taree - Gloucester","Mid North Coast"
"Mount Pleasant","NSW","2519","Wollongong","Illawarra"
"Mount Pritchard","NSW","2170","Liverpool","Sydney - South West"
"Mount Rae","NSW","2580","Blue Mountains - South","Sydney - Outer West and Blue Mountains"
"Mount Rankin","NSW","2795","Orange","Central West"
"Mount Rivers","NSW","2311","Lower Hunter","Hunter Valley exc Newcastle"
"Mount Riverview","NSW","2774","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Mount Royal","NSW","2330","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Mount Russell","NSW","2360","Inverell - Tenterfield","New England and North West"
"Mount Saint Thomas","NSW","2500","Wollongong","Illawarra"
"Mount Seaview","NSW","2446","Port Macquarie","Mid North Coast"
"Mount Tenandra","NSW","2828","Dubbo","Far West and Orana"
"Mount Thorley","NSW","2330","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Mount Tomah","NSW","2758","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Mount Vernon","NSW","2178","Fairfield","Sydney - South West"
"Mount Victoria","NSW","2786","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Mount View","NSW","2325","Lower Hunter","Hunter Valley exc Newcastle"
"Mount Vincent","NSW","2323","Lake Macquarie - West","Newcastle and Lake Macquarie"
"Mount Warning","NSW","2484","Gold Coast Hinterland","Gold Coast"
"Mount Warrigal","NSW","2528","Kiama - Shellharbour","Illawarra"
"Mount Werong","NSW","2787","Penrith","Sydney - Outer West and Blue Mountains"
"Mount White","NSW","2250","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Mount Wilson","NSW","2786","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Mountain Creek","NSW","2644","Wodonga - Alpine","Hume"
"Mountain Lagoon","NSW","2758","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Mountain Top","NSW","2480","Richmond Valley - Hinterland","Richmond - Tweed"
"Mountain View","NSW","2460","Inverell - Tenterfield","New England and North West"
"Mourquong","NSW","2648","Lower Murray","Murray"
"Mourquong","NSW","2739","Lower Murray","Murray"
"Mowbray Park","NSW","2571","Wollondilly","Sydney - Outer South West"
"Mozart","NSW","2787","Penrith","Sydney - Outer West and Blue Mountains"
"Mudgee","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Mugincoble","NSW","2870","Orange","Central West"
"Mulbring","NSW","2323","Lake Macquarie - West","Newcastle and Lake Macquarie"
"Muldiva","NSW","2453","Armidale","New England and North West"
"Mulgoa","NSW","2745","Bringelly - Green Valley","Sydney - South West"
"Mulgowrie","NSW","2583","Bathurst","Central West"
"Mulgrave","NSW","2756","Richmond - Windsor","Sydney - Outer West and Blue Mountains"
"Mulguthrie","NSW","2877","Bourke - Cobar - Coonamble","Far West and Orana"
"Muli Muli","NSW","2476","Richmond Valley - Hinterland","Richmond - Tweed"
"Mulla","NSW","2825","Bourke - Cobar - Coonamble","Far West and Orana"
"Mulla Creek","NSW","2352","Tamworth - Gunnedah","New England and North West"
"Mullaley","NSW","2379","Tamworth - Gunnedah","New England and North West"
"Mullamuddy","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Mullaway","NSW","2456","Coffs Harbour","Coffs Harbour - Grafton"
"Mullengandra","NSW","2644","Wodonga - Alpine","Hume"
"Mullengudgery","NSW","2825","Bourke - Cobar - Coonamble","Far West and Orana"
"Mullion","NSW","2582","Tumut - Tumbarumba","Riverina"
"Mullion Creek","NSW","2800","Orange","Central West"
"Mulloon","NSW","2622","Shoalhaven","Southern Highlands and Shoalhaven"
"Mullumbimby","NSW","2482","Richmond Valley - Coastal","Richmond - Tweed"
"Mullumbimby Creek","NSW","2482","Richmond Valley - Coastal","Richmond - Tweed"
"Mulwala","NSW","2647","Upper Murray exc. Albury","Murray"
"Mulyandry","NSW","2871","Lachlan Valley","Central West"
"Mumbil","NSW","2820","Dubbo","Far West and Orana"
"Mumblebone Plain","NSW","2824","Bourke - Cobar - Coonamble","Far West and Orana"
"Mumbulla Mountain","NSW","2550","South Coast","Capital Region"
"Mummel","NSW","2580","Blue Mountains - South","Sydney - Outer West and Blue Mountains"
"Mummulgum","NSW","2469","Richmond Valley - Hinterland","Richmond - Tweed"
"Mundamia","NSW","2540","Jervis Bay","Other Territories"
"Mundarlo","NSW","2729","Wagga Wagga","Riverina"
"Munderoo","NSW","2653","Tumut - Tumbarumba","Riverina"
"Mundongo","NSW","2720","Tumut - Tumbarumba","Riverina"
"Mungay Creek","NSW","2440","Armidale","New England and North West"
"Mungery","NSW","2869","Dubbo","Far West and Orana"
"Munghorn","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Mungle","NSW","2408","Moree - Narrabri","New England and North West"
"Mungo","NSW","2715","Murray River - Swan Hill","North West"
"Mungo Brush","NSW","2423","Taree - Gloucester","Mid North Coast"
"Munni","NSW","2420","Great Lakes","Mid North Coast"
"Munyabla","NSW","2658","Wagga Wagga","Riverina"
"Munyang","NSW","2624","Tumut - Tumbarumba","Riverina"
"Murga","NSW","2864","Orange","Central West"
"Muriel","NSW","2831","Dubbo","Far West and Orana"
"Muronbung","NSW","2830","Dubbo","Far West and Orana"
"Murragamba","NSW","2850","Upper Hunter","Hunter Valley exc Newcastle"
"Murrah","NSW","2546","South Coast","Capital Region"
"Murrah","NSW","2550","South Coast","Capital Region"
"Murrami","NSW","2705","Griffith - Murrumbidgee (West)","Riverina"
"Murrawombie","NSW","2825","Bourke - Cobar - Coonamble","Far West and Orana"
"Murray Downs","NSW","2734","Murray River - Swan Hill","North West"
"Murray Gorge","NSW","2642","Wodonga - Alpine","Hume"
"Murrays Beach","NSW","2281","Lake Macquarie - East","Newcastle and Lake Macquarie"
"Murrays Run","NSW","2325","Lower Hunter","Hunter Valley exc Newcastle"
"Murrengenburg","NSW","2536","Shoalhaven","Southern Highlands and Shoalhaven"
"Murrengenburg","NSW","2622","Shoalhaven","Southern Highlands and Shoalhaven"
"Murrin Bridge","NSW","2672","Bourke - Cobar - Coonamble","Far West and Orana"
"Murringo","NSW","2586","Goulburn - Yass","Capital Region"
"Murrulebale","NSW","2652","Wagga Wagga","Riverina"
"Murrumbateman","NSW","2582","Tumut - Tumbarumba","Riverina"
"Murrumbo","NSW","2849","Lithgow - Mudgee","Central West"
"Murrumbucca","NSW","2630","Snowy Mountains","Capital Region"
"Murrumburrah","NSW","2587","Goulburn - Yass","Capital Region"
"Murrurundi","NSW","2338","Tamworth - Gunnedah","New England and North West"
"Murulla","NSW","2337","Taree - Gloucester","Mid North Coast"
"Murwillumbah","NSW","2484","Gold Coast Hinterland","Gold Coast"
"Murwillumbah DC","NSW","2484","Gold Coast Hinterland","Gold Coast"
"Murwillumbah South","NSW","2484","Gold Coast Hinterland","Gold Coast"
"Muscle Creek","NSW","2333","Upper Hunter","Hunter Valley exc Newcastle"
"Muswellbrook","NSW","2333","Upper Hunter","Hunter Valley exc Newcastle"
"Mutawintji","NSW","2880","Broken Hill and Far West","Far West and Orana"
"Muttama","NSW","2722","Wagga Wagga","Riverina"
"Myall Creek","NSW","2403","Inverell - Tenterfield","New England and North West"
"Myall Lake","NSW","2423","Taree - Gloucester","Mid North Coast"
"Myall Park","NSW","2681","Griffith - Murrumbidgee (West)","Riverina"
"Myalla","NSW","2630","Snowy Mountains","Capital Region"
"Mylestom","NSW","2454","Coffs Harbour","Coffs Harbour - Grafton"
"Mylneford","NSW","2460","Inverell - Tenterfield","New England and North West"
"Myocum","NSW","2481","Richmond Valley - Coastal","Richmond - Tweed"
"Myola","NSW","2540","Jervis Bay","Other Territories"
"Myra Vale","NSW","2577","Southern Highlands","Southern Highlands and Shoalhaven"
"Myrtle Creek","NSW","2469","Richmond Valley - Hinterland","Richmond - Tweed"
"Myrtle Mountain","NSW","2550","South Coast","Capital Region"
"Myrtle Park","NSW","2713","Upper Murray exc. Albury","Murray"
"Myrtleville","NSW","2580","Blue Mountains - South","Sydney - Outer West and Blue Mountains"
"Mystery Bay","NSW","2546","South Coast","Capital Region"
"Myuna Bay","NSW","2264","Lake Macquarie - West","Newcastle and Lake Macquarie"
"Nabiac","NSW","2312","Taree - Gloucester","Mid North Coast"
"Nacurrie","NSW","2734","Murray River - Swan Hill","North West"
"Nadgee","NSW","2551","South Coast","Capital Region"
"Nambucca Heads","NSW","2448","Kempsey - Nambucca","Mid North Coast"
"Namoi River","NSW","2346","Tamworth - Gunnedah","New England and North West"
"Nana Glen","NSW","2450","Coffs Harbour","Coffs Harbour - Grafton"
"Nanami","NSW","2806","Lachlan Valley","Central West"
"Nanangroe","NSW","2582","Tumut - Tumbarumba","Riverina"
"Nanardine","NSW","2870","Orange","Central West"
"Nangus","NSW","2722","Wagga Wagga","Riverina"
"Nanima","NSW","2582","Tumut - Tumbarumba","Riverina"
"Nanima","NSW","2820","Dubbo","Far West and Orana"
"Napier Lane","NSW","2379","Tamworth - Gunnedah","New England and North West"
"Napoleon Reef","NSW","2795","Orange","Central West"
"Naradhan","NSW","2669","Griffith - Murrumbidgee (West)","Riverina"
"Narara","NSW","2250","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Narellan","NSW","2567","Campbelltown (NSW)","Sydney - Outer South West"
"Narellan DC","NSW","2567","Campbelltown (NSW)","Sydney - Outer South West"
"Narellan Vale","NSW","2567","Campbelltown (NSW)","Sydney - Outer South West"
"Naremburn","NSW","2065","North Sydney - Mosman","Sydney - North Sydney and Hornsby"
"Narone Creek","NSW","2325","Lower Hunter","Hunter Valley exc Newcastle"
"Narooma","NSW","2546","South Coast","Capital Region"
"Narrabarba","NSW","2551","South Coast","Capital Region"
"Narrabeen","NSW","2101","Warringah","Sydney - Northern Beaches"
"Narrabeen Peninsula","NSW","2101","Warringah","Sydney - Northern Beaches"
"Narrabri","NSW","2390","Tamworth - Gunnedah","New England and North West"
"Narrabri West","NSW","2390","Tamworth - Gunnedah","New England and North West"
"Narraburra","NSW","2666","Wagga Wagga","Riverina"
"Narrambla","NSW","2800","Orange","Central West"
"Narran Lake","NSW","2839","Bourke - Cobar - Coonamble","Far West and Orana"
"Narrandera","NSW","2700","Griffith - Murrumbidgee (West)","Riverina"
"Narrangullen","NSW","2582","Tumut - Tumbarumba","Riverina"
"Narrawa","NSW","2583","Bathurst","Central West"
"Narrawallee","NSW","2539","Shoalhaven","Southern Highlands and Shoalhaven"
"Narraweena","NSW","2099","Warringah","Sydney - Northern Beaches"
"Narromine","NSW","2821","Dubbo","Far West and Orana"
"Narwee","NSW","2209","Hurstville","Sydney - Inner South West"
"Nashdale","NSW","2800","Orange","Central West"
"Nashua","NSW","2479","Richmond Valley - Coastal","Richmond - Tweed"
"Nattai","NSW","2570","Bringelly - Green Valley","Sydney - South West"
"Naughtons Gap","NSW","2470","Richmond Valley - Hinterland","Richmond - Tweed"
"Nea","NSW","2381","Tamworth - Gunnedah","New England and North West"
"Neath","NSW","2326","Maitland","Hunter Valley exc Newcastle"
"Nebea","NSW","2829","Dubbo","Far West and Orana"
"Neilrex","NSW","2831","Dubbo","Far West and Orana"
"Nelligen","NSW","2536","Shoalhaven","Southern Highlands and Shoalhaven"
"Nelson","NSW","2550","South Coast","Capital Region"
"Nelson","NSW","2765","Richmond - Windsor","Sydney - Outer West and Blue Mountains"
"Nelson Bay","NSW","2315","Port Stephens","Hunter Valley exc Newcastle"
"Nelsons Plains","NSW","2324","Great Lakes","Mid North Coast"
"Nelungaloo","NSW","2876","Lachlan Valley","Central West"
"Nemingha","NSW","2340","Tamworth - Gunnedah","New England and North West"
"Nericon","NSW","2680","Griffith - Murrumbidgee (West)","Riverina"
"Neringla","NSW","2622","Shoalhaven","Southern Highlands and Shoalhaven"
"Nerong","NSW","2423","Taree - Gloucester","Mid North Coast"
"Nerriga","NSW","2622","Shoalhaven","Southern Highlands and Shoalhaven"
"Nerrigundah","NSW","2545","South Coast","Capital Region"
"Nethercote","NSW","2549","South Coast","Capital Region"
"Neurea","NSW","2820","Dubbo","Far West and Orana"
"Neutral Bay","NSW","2089","North Sydney - Mosman","Sydney - North Sydney and Hornsby"
"Neutral Bay Junction","NSW","2089","North Sydney - Mosman","Sydney - North Sydney and Hornsby"
"Never Never","NSW","2453","Armidale","New England and North West"
"Nevertire","NSW","2826","Dubbo","Far West and Orana"
"Nevertire","NSW","2831","Dubbo","Far West and Orana"
"Neville","NSW","2799","Orange","Central West"
"New Berrima","NSW","2577","Southern Highlands","Southern Highlands and Shoalhaven"
"New Brighton","NSW","2483","Tweed Valley","Richmond - Tweed"
"New Buildings","NSW","2550","South Coast","Capital Region"
"New Italy","NSW","2472","Richmond Valley - Hinterland","Richmond - Tweed"
"New Lambton","NSW","2305","Newcastle","Newcastle and Lake Macquarie"
"New Lambton Heights","NSW","2305","Newcastle","Newcastle and Lake Macquarie"
"New Mexico","NSW","2346","Tamworth - Gunnedah","New England and North West"
"New Mollyan","NSW","2842","Dubbo","Far West and Orana"
"New Park","NSW","2474","Tweed Valley","Richmond - Tweed"
"New Valley","NSW","2365","Inverell - Tenterfield","New England and North West"
"Newbold","NSW","2460","Inverell - Tenterfield","New England and North West"
"Newbridge","NSW","2795","Orange","Central West"
"Newcastle","NSW","2300","Newcastle","Newcastle and Lake Macquarie"
"Newcastle East","NSW","2300","Newcastle","Newcastle and Lake Macquarie"
"Newcastle University","NSW","2308","Newcastle","Newcastle and Lake Macquarie"
"Newcastle West","NSW","2302","Newcastle","Newcastle and Lake Macquarie"
"Newee Creek","NSW","2447","Kempsey - Nambucca","Mid North Coast"
"Newington","NSW","2127","Auburn","Sydney - Parramatta"
"Newling","NSW","2350","Armidale","New England and North West"
"Newnes","NSW","2790","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Newnes Plateau","NSW","2790","Blue Mountains","Sydney - Outer West and Blue Mountains"
"Newport","NSW","2106","Pittwater","Sydney - Northern Beaches"
"Newport Beach","NSW","2106","Pittwater","Sydney - Northern Beaches"
"Newrybar","NSW","2479","Richmond Valley - Coastal","Richmond - Tweed"
"Newstead","NSW","2360","Inverell - Tenterfield","New England and North West"
"Newton Boyd","NSW","2370","Inverell - Tenterfield","New England and North West"
"Newtown","NSW","2042","Sydney Inner City","Sydney - City and Inner South"
"Ngarigo","NSW","2627","Tumut - Tumbarumba","Riverina"
"Niagara Park","NSW","2250","Hawkesbury","Sydney - Baulkham Hills and Hawkesbury"
"Niangala","NSW","2354","Tamworth - Gunnedah","New England and North West"
"Niemur","NSW","2733","Upper Murray exc. Albury","Murray"
"Nightcap","NSW","2480","Richmond Valley - Hinterland","Richmond - Tweed"
"Nimbin","NSW","2480","Richmond Valley - Hinterland","Richmond - Tweed"
"Nimmitabel","NSW","2631","Snowy Mountains","Capital Region"
"Nimmo","NSW","2628","Snowy Mountains","Capital Region"
"Nimmo","NSW","2630","Snowy Mountains","Capital Region"
"Nirimba Fields","NSW","2763","Blacktown - North","Sydney - Blacktown"
"Nobbys Creek","NSW","2484","Gold Coast Hinterland","Gold Coast"
"Noggabri","NSW","2380","Tamworth - Gunnedah","New England and North West"
"Nombi","NSW","2379","Tamworth - Gunnedah","New England and North West"
"Noona","NSW","2835","Bourke - Cobar - Coonamble","Far West and Orana"
"Noonbinna","NSW","2794","Lachlan Valley","Central West"
"Noorong","NSW","2732","Murray River - Swan Hill","North West"
"Nooroo","NSW","2415","Taree - Gloucester","Mid North Coast"
